horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+15min,3,8,ACI,0.1,1.0,0.8906403940886699,30.819882534469734,46.19090532749499
y_t+15min,3,8,ACI,0.1,2.0,0.8896551724137931,29.16769963640629,45.28224016839756
y_t+15min,3,8,ACI,0.2,0.5,0.865024630541872,34.02933255792739,51.768707228868564
y_t+15min,3,8,ACI,0.2,1.0,0.8719211822660099,37.20822692548283,56.66985178538849
y_t+15min,3,8,ACI,0.2,2.0,0.8729064039408867,34.68775657264648,54.84024830085988
y_t+15min,3,8,ACI,0.5,0.5,0.7960591133004926,44.22261328485418,74.04367892720308
y_t+15min,3,8,ACI,0.5,1.0,0.8059113300492611,51.76691873875988,80.35548242630387
y_t+15min,3,8,ACI,0.5,2.0,0.8078817733990148,48.805501726033505,80.8184737533676
y_t+15min,3,9,split-CP,,,0.787192118226601,6.781571428571624,21.114592013259276
y_t+15min,3,9,ACI,0.01,0.5,0.8857142857142857,11.17842266625911,15.812395473145711
y_t+15min,3,9,ACI,0.01,1.0,0.8837438423645321,10.595951182716197,16.094293225001582
y_t+15min,3,9,ACI,0.01,2.0,0.8847290640394089,10.547342453860677,15.368024987619556
y_t+15min,3,9,ACI,0.02,0.5,0.8788177339901477,10.396731520222156,14.722397428661447
y_t+15min,3,9,ACI,0.02,1.0,0.8778325123152709,9.919810841111078,15.099078924241232
y_t+15min,3,9,ACI,0.02,2.0,0.8817733990147784,9.843652635550908,14.556176635816277
y_t+15min,3,9,ACI,0.05,0.5,0.8679802955665025,8.920577095965518,13.60204889109243
y_t+15min,3,9,ACI,0.05,1.0,0.8669950738916257,9.11811874101086,14.36732677727305
y_t+15min,3,9,ACI,0.05,2.0,0.864039408866995,9.23651191044862,14.314954804081136
y_t+15min,3,9,ACI,0.1,0.5,0.8472906403940886,8.576718575977937,14.070498934098154
y_t+15min,3,9,ACI,0.1,1.0,0.8532019704433498,8.761199862097392,14.505145419003513
y_t+15min,3,9,ACI,0.1,2.0,0.8472906403940886,9.040841762570574,14.740778970682614
y_t+15min,3,9,ACI,0.2,0.5,0.8275862068965517,8.544732103346389,15.280771532353778
y_t+15min,3,9,ACI,0.2,1.0,0.8295566502463054,9.436639661569966,16.491752323492943
y_t+15min,3,9,ACI,0.2,2.0,0.8216748768472907,9.2523004206977,16.59126340735523
y_t+15min,3,9,ACI,0.5,0.5,0.767487684729064,9.573959158912624,18.893390632930267
y_t+15min,3,9,ACI,0.5,1.0,0.7694581280788177,10.980445900004026,20.703666135433533
y_t+15min,3,9,ACI,0.5,2.0,0.7635467980295566,11.336442708340732,21.72988375142458
y_t+30min,6,2,split-CP,,,0.9337944664031621,34.44574999999998,39.53175969106649
y_t+30min,6,2,ACI,0.01,0.5,0.8962450592885376,27.11491685991301,36.22837640768482
y_t+30min,6,2,ACI,0.01,1.0,0.8903162055335968,27.408188459120726,36.6978152827905
y_t+30min,6,2,ACI,0.01,2.0,0.8972332015810277,28.64687880326458,37.40551128158629
y_t+30min,6,2,ACI,0.02,0.5,0.8903162055335968,25.375251375988313,36.20199895429329
y_t+30min,6,2,ACI,0.02,1.0,0.8863636363636364,24.923264097896016,35.83224813803671
y_t+30min,6,2,ACI,0.02,2.0,0.8942687747035574,26.256742060172297,36.69534206186573
y_t+30min,6,2,ACI,0.05,0.5,0.8774703557312253,24.05802215467967,35.79212788611401
y_t+30min,6,2,ACI,0.05,1.0,0.8754940711462451,24.119585354058973,37.023523093276
y_t+30min,6,2,ACI,0.05,2.0,0.8853754940711462,25.011055873368324,36.59012114878797
y_t+30min,6,2,ACI,0.1,0.5,0.8517786561264822,23.042974058673977,38.45176649290065
y_t+30min,6,2,ACI,0.1,1.0,0.8478260869565217,23.246127773012812,38.87825749555265
y_t+30min,6,2,ACI,0.1,2.0,0.8626482213438735,24.976895099657693,38.61810904703371
y_t+30min,6,2,ACI,0.2,0.5,0.808300395256917,23.49311024341693,39.50230436378199
y_t+30min,6,2,ACI,0.2,1.0,0.8132411067193676,23.596220162316463,39.88627382454502
y_t+30min,6,2,ACI,0.2,2.0,0.8211462450592886,25.968281166037883,42.21668219357133
y_t+30min,6,2,ACI,0.5,0.5,0.7282608695652174,24.147023674676106,47.18885788471768
y_t+30min,6,2,ACI,0.5,1.0,0.7302371541501976,25.74422284118695,49.852411068526614
y_t+30min,6,2,ACI,0.5,2.0,0.7460474308300395,28.528780684989872,50.77669759402139
