horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+90min,3,10,ACI,0.02,1.0,0.9111111111111111,25.584281832879054,29.042936287477946
y_t+90min,3,10,ACI,0.05,1.0,0.9037037037037037,24.649062081128747,29.455299735449735
y_t+90min,3,10,ACI,0.1,1.0,0.8962962962962963,28.110988839452727,33.22749097723265
y_t+90min,3,11,split-CP,,,0.9333333333333333,140.8221785714286,173.77364936401048
y_t+90min,3,11,ACI,0.002,1.0,0.9185185185185185,138.14032450697448,178.36540993800438
y_t+90min,3,11,ACI,0.005,1.0,0.9037037037037037,134.73624478916142,177.87866002618782
y_t+90min,3,11,ACI,0.01,1.0,0.8962962962962963,134.223287595532,177.07857408476292
y_t+90min,3,11,ACI,0.02,1.0,0.8962962962962963,131.85724042541818,178.35174071936297
y_t+90min,3,11,ACI,0.05,1.0,0.8888888888888888,150.40993869114422,193.88923822083268
y_t+90min,3,11,ACI,0.1,1.0,0.8740740740740741,165.3667766741489,219.90853775052116
