facility_id,dynamic,partition,cell,method,PICP,MPIW,n_cell,cramers_v_vs_tod,degenerate
4,True,random_5,r0,ToD-ACI,0.9112149532710281,21.3302762549842,214,0.06121431335981023,False
4,True,random_5,r3,ToD-ACI,0.8957345971563981,22.64387224991964,211,0.06121431335981023,False
4,True,random_5,r2,ToD-ACI,0.9017857142857143,21.997481013364936,224,0.06121431335981023,False
4,True,random_5,r4,ToD-ACI,0.91,20.283863817640693,200,0.06121431335981023,False
4,True,random_5,r1,ToD-ACI,0.8734939759036144,22.76149728278192,166,0.06121431335981023,False
5,True,time_of_day,night,split-CP,1.0,15.060436507936402,285,1.0,False
5,True,time_of_day,am_rush,split-CP,0.8958333333333334,15.060436507936402,192,1.0,False
5,True,time_of_day,midday,split-CP,0.836,15.060436507936402,250,1.0,False
5,True,time_of_day,pm_rush,split-CP,0.8128654970760234,15.060436507936403,171,1.0,False
5,True,time_of_day,evening,split-CP,0.8803418803418803,15.060436507936402,117,1.0,False
5,True,time_of_day,night,Mondrian-split-CP,0.9894736842105263,8.048753968254005,285,1.0,False
5,True,time_of_day,am_rush,Mondrian-split-CP,0.8802083333333334,14.804888888888918,192,1.0,False
5,True,time_of_day,midday,Mondrian-split-CP,0.904,19.301645502645524,250,1.0,False
5,True,time_of_day,pm_rush,Mondrian-split-CP,0.8654970760233918,17.954321428571408,171,1.0,False
5,True,time_of_day,evening,Mondrian-split-CP,0.7948717948717948,8.654814814814813,117,1.0,False
5,True,time_of_day,night,ACI,1.0,15.44425608001485,285,1.0,False
5,True,time_of_day,am_rush,ACI,0.9010416666666666,12.193100246011698,192,1.0,False
5,True,time_of_day,midday,ACI,0.816,16.91796069404669,250,1.0,False
5,True,time_of_day,pm_rush,ACI,0.8304093567251462,16.912069585439465,171,1.0,False
5,True,time_of_day,evening,ACI,0.905982905982906,22.7588360209749,117,1.0,False
5,True,time_of_day,night,ToD-ACI,0.9157894736842105,4.499192991738601,285,1.0,False
5,True,time_of_day,am_rush,ToD-ACI,0.875,14.33036131196157,192,1.0,False
5,True,time_of_day,midday,ToD-ACI,0.896,17.875568374218375,250,1.0,False
5,True,time_of_day,pm_rush,ToD-ACI,0.9064327485380117,19.943629575481882,171,1.0,False
5,True,time_of_day,evening,ToD-ACI,0.8547008547008547,21.924598584543027,117,1.0,False
5,True,day_of_week,Sat,split-CP,0.932,15.060436507936402,250,0.1528295627562024,False
5,True,day_of_week,Sun,split-CP,0.904,15.060436507936402,250,0.1528295627562024,False
5,True,day_of_week,Mon,split-CP,0.8715277777777778,15.060436507936402,288,0.1528295627562024,False
5,True,day_of_week,Tue,split-CP,0.8722466960352423,15.060436507936403,227,0.1528295627562024,False
5,True,day_of_week,Sat,Mondrian-split-CP,0.956,14.222564539682569,250,0.1528295627562024,False
5,True,day_of_week,Sun,Mondrian-split-CP,0.904,12.894557756613777,250,0.1528295627562024,False
5,True,day_of_week,Mon,Mondrian-split-CP,0.8541666666666666,13.739937389770732,288,0.1528295627562024,False
5,True,day_of_week,Tue,Mondrian-split-CP,0.9118942731277533,14.573853209565778,227,0.1528295627562024,False
5,True,day_of_week,Sat,ACI,0.912,12.339909570947569,250,0.1528295627562024,False
5,True,day_of_week,Sun,ACI,0.852,13.989139396788396,250,0.1528295627562024,False
5,True,day_of_week,Mon,ACI,0.9201388888888888,22.004122571198085,288,0.1528295627562024,False
5,True,day_of_week,Tue,ACI,0.8986784140969163,15.891967289318607,227,0.1528295627562024,False
5,True,day_of_week,Sat,ToD-ACI,0.956,13.151764360750352,250,0.1528295627562024,False
5,True,day_of_week,Sun,ToD-ACI,0.888,11.249409763236752,250,0.1528295627562024,False
5,True,day_of_week,Mon,ToD-ACI,0.875,17.493286145149852,288,0.1528295627562024,False
5,True,day_of_week,Tue,ToD-ACI,0.8590308370044053,14.71264413698555,227,0.1528295627562024,False
5,True,occupancy_tercile,high,split-CP,0.9976359338061466,15.060436507936402,423,0.618040210694983,False
