fold,facility_id,method,PICP,MPIW,Winkler,n_test
F2,19,ACQR,0.9007194244604316,12.193074943979688,16.03535836264088,695
F2,20,split-CP,0.9309352517985612,11.203350588273976,14.100067843041586,695
F2,20,ACI,0.9050359712230216,10.10349482128583,13.409172440229634,695
F2,20,CQR,0.9294964028776979,9.207366736448838,11.689593455448657,695
F2,20,ACQR,0.9035971223021583,9.68090647145245,12.356598874518898,695
F2,21,split-CP,0.8661870503597122,9.414215199269153,18.32376079569245,695
F2,21,ACI,0.8964028776978418,13.70899013049301,18.099884440153506,695
F2,21,CQR,0.8719424460431655,7.725315342480199,16.499948751816554,695
F2,21,ACQR,0.8992805755395683,12.03419249720235,16.594671070403205,695
F2,22,split-CP,0.9223021582733812,16.168285700011428,23.540814584263323,695
F2,22,ACI,0.9035971223021583,16.232697888269467,23.489406722068228,695
F2,22,CQR,0.9266187050359712,11.894293760960808,15.828485592685718,695
F2,22,ACQR,0.902158273381295,14.415371066834187,18.007080524078376,695
F2,23,split-CP,0.9122302158273381,8.969044973544984,14.105098644893605,695
F2,23,ACI,0.9064748201438849,9.489177553541582,13.953725331769206,695
F2,23,CQR,0.897841726618705,6.377112975317426,9.979128619313954,695
F2,23,ACQR,0.9064748201438849,9.365579865246199,12.171923318066769,695
F2,24,split-CP,0.9640287769784173,8.092460317460322,8.871983746336268,695
F2,24,ACI,0.9007194244604316,6.338440674127368,8.581730869676553,695
F2,24,CQR,0.958273381294964,6.324595956569755,7.333715708469662,695
F2,24,ACQR,0.902158273381295,5.162096535425687,7.034126948295677,695
F3,2,split-CP,0.9111111111111111,20.555428571428475,26.346501724129162,765
F3,2,ACI,0.8980392156862745,17.81546382612788,24.44004899380455,765
F3,2,CQR,0.8836601307189542,14.716275676727165,22.830896226343782,765
F3,2,ACQR,0.8980392156862745,19.12605620987227,24.843277923176746,765
F3,3,split-CP,0.9594771241830066,20.622552019651852,23.84586044313349,765
F3,3,ACI,0.8980392156862745,15.143863123217862,23.32105900830591,765
F3,3,CQR,0.9450980392156862,16.88473098752165,21.565115655771507,765
F3,3,ACQR,0.8980392156862745,15.977974773751809,23.15083072511237,765
F3,4,split-CP,0.9660130718954248,24.983489349926252,31.297342585047467,765
F3,4,ACI,0.8993464052287582,20.710440720384675,32.10869686885978,765
F3,4,CQR,0.9202614379084967,16.022859396292716,26.7087074475334,765
F3,4,ACQR,0.9019607843137255,21.189876443475057,33.106557271013976,765
F3,5,split-CP,0.8588235294117647,14.21687950937951,30.056862520316773,765
F3,5,ACI,0.8993464052287582,23.20678372512866,34.36787783302996,765
F3,5,CQR,0.9084967320261438,16.730419569522827,26.884175328283973,765
F3,5,ACQR,0.8967320261437909,22.55395325287532,32.51823756706334,765
F3,6,split-CP,0.9294117647058824,9.409063492063495,12.281166893019835,765
F3,6,ACI,0.8980392156862745,10.472252071760241,13.71294544024119,765
F3,6,CQR,0.9084967320261438,8.022128211708628,11.125556707658637,765
F3,6,ACQR,0.8993464052287582,10.57138631668707,13.930157790226849,765
F3,7,split-CP,0.85359477124183,52.74857804232794,88.43014291137337,765
F3,7,ACI,0.9019607843137255,70.96963930151185,90.41376853502345,765
F3,7,CQR,0.8562091503267973,47.39887346453269,73.29450052836383,765
F3,7,ACQR,0.8993464052287582,63.513528096611275,77.4645717760198,765
F3,8,split-CP,0.9633986928104575,79.53651854272576,90.65884523636618,765
F3,8,ACI,0.8993464052287582,24.755649516720272,41.64693125410659,765
