facility_id,dynamic,base,level,method,PICP,MPIW,Winkler,MAE,gamma,gamma_calB_picp,n_cal_b,degenerate,cal_score_max,n_test,n_cal
9,True,RandomForest,0.9,split-CP,0.787192118226601,6.781571428571624,21.11459201325928,2.0902861941014637,,,,False,7.572908730158815,1015,760
9,True,RandomForest,0.9,ACI,0.8778325123152709,9.919810841111078,15.099078924241232,2.0902861941014637,0.02,0.9052631578947369,380.0,False,7.572908730158815,1015,760
9,True,RandomForest,0.95,split-CP,0.8344827586206897,8.36858333333339,31.0434496839138,2.0902861941014637,,,,False,7.572908730158815,1015,760
9,True,RandomForest,0.95,ACI,0.9369458128078818,13.077139238976661,19.661446458485894,2.0902861941014637,0.01,0.95,380.0,False,7.572908730158815,1015,760
9,True,GradBoost,0.9,split-CP,0.819704433497537,8.075408135037378,20.519263333394807,2.122336240744956,,,,False,8.504853775031506,1015,760
9,True,GradBoost,0.9,ACI,0.8827586206896552,10.830848337603607,16.060890958508942,2.122336240744956,0.02,0.9,380.0,False,8.504853775031506,1015,760
9,True,GradBoost,0.95,split-CP,0.8679802955665025,10.399704386181838,27.92486914335544,2.122336240744956,,,,False,8.504853775031506,1015,760
9,True,GradBoost,0.95,ACI,0.9339901477832512,14.192565603874304,20.58324046910993,2.122336240744956,0.01,0.9473684210526315,380.0,False,8.504853775031506,1015,760
9,True,Ridge(linear),0.9,split-CP,0.7980295566502463,6.459141731490036,19.738958409876446,2.104424256029928,,,,False,9.59264200385519,1015,760
9,True,Ridge(linear),0.9,ACI,0.8817733990147784,9.465653802647557,14.718144200642245,2.104424256029928,0.02,0.8921052631578947,380.0,False,9.59264200385519,1015,760
9,True,Ridge(linear),0.95,split-CP,0.8522167487684729,8.234037716256353,28.584747337806476,2.104424256029928,,,,False,9.59264200385519,1015,760
9,True,Ridge(linear),0.95,ACI,0.9261083743842364,11.85652897511351,18.338470154994386,2.104424256029928,0.02,0.9394736842105263,380.0,False,9.59264200385519,1015,760
10,False,RandomForest,0.9,split-CP,0.9793103448275862,4.836472222222221,5.265397047533745,0.5690464278013537,,,,False,6.464941798941798,1015,760
10,False,RandomForest,0.9,ACI,0.8827586206896552,3.046473439414079,4.3993539558142984,0.5690464278013537,0.05,0.9078947368421053,380.0,False,6.464941798941798,1015,760
10,False,RandomForest,0.95,split-CP,0.994088669950739,6.735146825396825,7.175411517829004,0.5690464278013537,,,,False,6.464941798941798,1015,760
10,False,RandomForest,0.95,ACI,0.9339901477832512,3.818257153164296,5.712068849769096,0.5690464278013537,0.05,0.95,380.0,False,6.464941798941798,1015,760
10,False,GradBoost,0.9,split-CP,0.9684729064039409,4.835520460686766,5.342362637925268,0.6383545996807213,,,,False,6.5930095034268685,1015,760
10,False,GradBoost,0.9,ACI,0.8847290640394089,3.179192137330597,4.874307101299536,0.6383545996807213,0.05,0.9105263157894737,380.0,False,6.5930095034268685,1015,760
10,False,GradBoost,0.95,split-CP,0.9921182266009853,7.215961861098093,7.569542308056589,0.6383545996807213,,,,False,6.5930095034268685,1015,760
