facility_id,dynamic,horizon,model,MAE,RMSE,n_test
19,True,y_t+30min,RF-absolute,4.050650087072236,5.500921758887217,1012
20,True,y_t+5min,RF-delta,0.7611692870433039,1.283253540044642,1017
20,True,y_t+5min,persistence,0.729760734185513,1.380782636943264,1017
20,True,y_t+5min,RF-absolute,1.3444710123901369,2.137908099364551,1017
20,True,y_t+15min,RF-delta,1.5059723984827431,2.413843082715173,1015
20,True,y_t+15min,persistence,1.5436781609195405,2.7950470306717943,1015
20,True,y_t+15min,RF-absolute,1.9791248862431128,3.022550289464402,1015
20,True,y_t+30min,RF-delta,2.048010439353706,3.114044867060364,1012
20,True,y_t+30min,persistence,2.3847478805063878,4.315922979645135,1012
20,True,y_t+30min,RF-absolute,2.661289876948649,4.234288658726436,1012
21,True,y_t+5min,RF-delta,0.9194957138576852,1.4214191263239129,1017
21,True,y_t+5min,persistence,0.8321861684693542,1.415757801272088,1017
21,True,y_t+5min,RF-absolute,1.549581743596,2.4029931880609383,1017
21,True,y_t+15min,RF-delta,1.943264613825328,3.206391916114752,1015
21,True,y_t+15min,persistence,1.829064039408867,3.2339663863202004,1015
21,True,y_t+15min,RF-absolute,2.423947785857638,3.840816369354444,1015
21,True,y_t+30min,RF-delta,2.9772363939338864,5.199679692910957,1012
21,True,y_t+30min,persistence,2.875999599014722,5.235715950792666,1012
21,True,y_t+30min,RF-absolute,3.351146492396956,5.629992987592384,1012
22,True,y_t+5min,RF-delta,1.3781486581174387,2.873531273941347,1017
22,True,y_t+5min,persistence,1.3493936414290395,2.7079926291511143,1017
22,True,y_t+5min,RF-absolute,2.986048455655022,5.431446288857506,1017
22,True,y_t+15min,RF-delta,2.8147943564326563,5.321056270793746,1015
22,True,y_t+15min,persistence,3.478653530377668,6.457695688634299,1015
22,True,y_t+15min,RF-absolute,4.123275486965148,6.921190677704217,1015
22,True,y_t+30min,RF-delta,4.020151432396835,6.947224425179896,1012
22,True,y_t+30min,persistence,6.484461104428023,11.333882989148552,1012
22,True,y_t+30min,RF-absolute,5.05324823717238,8.179190603282995,1012
23,True,y_t+5min,RF-delta,0.7583919022954172,1.451646362007591,1017
23,True,y_t+5min,persistence,0.7568010488364472,1.431890838479045,1017
23,True,y_t+5min,RF-absolute,1.1970639150672353,1.8925796115512108,1017
23,True,y_t+15min,RF-delta,1.4424810838449995,2.417036641101568,1015
23,True,y_t+15min,persistence,1.809523809523809,3.273560969815283,1015
23,True,y_t+15min,RF-absolute,1.6504745811386214,2.5974313638559563,1015
23,True,y_t+30min,RF-delta,1.957732434011612,3.163205450900892,1012
23,True,y_t+30min,persistence,3.242964140459414,5.729180590812584,1012
23,True,y_t+30min,RF-absolute,2.290390743687471,3.4519822168589744,1012
24,True,y_t+5min,RF-delta,0.5773155792957906,1.1276075308768048,1017
24,True,y_t+5min,persistence,0.47984267453294,1.1757036336579207,1017
24,True,y_t+5min,RF-absolute,2.0553479407669406,3.4449801918880985,1017
24,True,y_t+15min,RF-delta,1.4143627407668047,2.398719271447244,1015
24,True,y_t+15min,persistence,1.2356321839080457,2.5683486694361024,1015
24,True,y_t+15min,RF-absolute,3.528751176200186,5.013138819701221,1015
24,True,y_t+30min,RF-delta,2.2182747410755677,3.4656737322796265,1012
24,True,y_t+30min,persistence,2.224280374634817,4.251678944085116,1012
24,True,y_t+30min,RF-absolute,4.3991872437174635,6.22588217126236,1012
