dataset,facility_id,method,in_published_base,PICP_before,PICP_after,dPICP,MPIW_before,MPIW_after,Winkler_before,Winkler_after,rel_dWinkler
birmingham,16,NGBoost,True,0.3333333333333333,0.3257575757575757,-0.0075757575757576245,14.02222906594512,14.074190607493428,206.6976557745857,210.04674735253568,0.015944505783414754
birmingham,16,NGBoost-conformal,True,0.9015151515151516,0.8863636363636364,-0.015151515151515249,63.946922758637896,62.80309539797365,99.3905922623756,101.3587588060714,0.01941782404282863
birmingham,17,NGBoost,True,0.4871794871794871,0.4957264957264957,0.008547008547008572,13.179456999798152,13.137082381800214,75.30925997123569,75.20568985143007,0.0013752640756951135
birmingham,17,NGBoost-conformal,True,0.8803418803418803,0.8803418803418803,0.0,32.149168738147964,32.21249472748201,42.60545303199241,42.5285005459827,0.0018061651862245356
birmingham,18,NGBoost,True,0.5777777777777777,0.5777777777777777,0.0,23.059489800144966,23.05270919535668,95.83061891387273,95.38067327767544,0.004695217888571407
birmingham,18,NGBoost-conformal,True,0.9555555555555556,0.9629629629629628,0.007407407407407196,63.49440094097366,67.52561864563303,72.56341883733909,75.05136707598062,0.033149938976098636
birmingham,19,NGBoost,True,0.2074074074074074,0.2074074074074074,0.0,71.83376273471481,71.8233643084302,1373.9251723595223,1375.687974134005,0.0012813965140549052
birmingham,19,NGBoost-conformal,True,0.9111111111111112,0.9111111111111112,0.0,414.6985982287308,412.7480032257161,474.9100129775848,473.5834739083169,0.002793242999764986
birmingham,20,NGBoost,True,0.6097560975609756,0.6097560975609756,0.0,22.534632549390576,22.569162466841306,83.84144278907199,83.7050779847161,0.0016264606120741337
birmingham,20,NGBoost-conformal,True,1.0,1.0,0.0,88.04885245251418,88.08338236996491,88.04885245251418,88.08338236996491,0.00039201398177121167
birmingham,22,NGBoost,True,0.7073170731707317,0.7073170731707317,0.0,21.79871520392944,21.75861482634882,83.26308004543336,83.79014150158608,0.006290256188942534
birmingham,22,NGBoost-conformal,True,1.0,0.975609756097561,-0.024390243902439046,73.69584936953119,72.45316087149834,73.69584936953119,72.98783432330075,0.00960725810595196
birmingham,23,NGBoost,True,0.2518518518518518,0.2444444444444444,-0.007407407407407418,49.90213929260064,49.97106542757978,689.5696273576096,686.3482552684734,0.004671568992213827
birmingham,23,NGBoost-conformal,True,0.837037037037037,0.8296296296296296,-0.007407407407407418,172.1297138229129,166.64291488879755,247.3488893993692,250.54841992648952,0.012770108580445461
birmingham,24,NGBoost,True,0.5111111111111111,0.4962962962962963,-0.01481481481481478,44.41075153403878,44.41486249199054,324.1709383439608,326.32765383075093,0.006609049099800457
birmingham,24,NGBoost-conformal,True,0.9111111111111112,0.9037037037037036,-0.00740740740740764,141.5990252281808,141.60313618613256,174.5355588628889,177.34329442468524,0.015832205953457877
birmingham,25,NGBoost,True,0.2296296296296296,0.237037037037037,0.00740740740740739,93.91713673643348,94.46453778800588,1924.3897381382703,1913.5082105363729,0.005654534206997318
birmingham,25,NGBoost-conformal,True,0.8888888888888888,0.8888888888888888,0.0,526.798391723888,527.3457927754606,636.2871383683154,634.4434104956738,0.002897634985000021
birmingham,26,NGBoost,True,0.2444444444444444,0.2518518518518518,0.007407407407407418,49.727774672109874,49.412746441651336,976.4260680414214,997.3077036753652,0.020938006953108834
birmingham,26,NGBoost-conformal,True,0.9111111111111112,0.9111111111111112,0.0,315.38595660477466,318.8699578514941,418.120051405696,422.9578781943947,0.011438081752611757
birmingham,27,NGBoost,True,0.4148148148148148,0.4222222222222222,0.007407407407407418,32.61630764243514,32.636236920017204,246.03112261523944,243.4232186010004,0.010599894787772282
birmingham,27,NGBoost-conformal,True,0.8444444444444444,0.8444444444444444,0.0,86.03547507419528,86.05540435177733,118.80465161876812,118.4751976355993,0.002773073096716804
birmingham,28,NGBoost,True,0.3111111111111111,0.3111111111111111,0.0,26.44603123898427,26.47176971858209,335.1808871033816,333.191512171609,0.00593522783761536
birmingham,28,NGBoost-conformal,True,0.837037037037037,0.8444444444444444,0.007407407407407418,92.30010975193184,92.43518153037634,155.81140231292937,154.75018561372508,0.006810905257581612
birmingham,29,NGBoost,True,0.4296296296296296,0.437037037037037,0.007407407407407418,68.32625252682075,70.32224167945581,380.5247746014214,372.6161088430705,0.020783576487588287
birmingham,29,NGBoost-conformal,True,0.9777777777777776,0.9777777777777776,0.0,225.5865597994909,223.963033475078,229.30359784741088,227.5918457044625,0.007465003423485213
birmingham,30,NGBoost,True,0.2296296296296296,0.2222222222222222,-0.00740740740740739,25.5557131489238,25.459114011512987,556.0866421200553,560.6315538151476,0.00810677113010101
birmingham,30,NGBoost-conformal,True,0.9333333333333332,0.9481481481481482,0.014814814814814947,184.3492872849965,185.51250638158257,224.33794888769788,224.248908731364,0.00039690189187943756
