facility_id,dynamic,bucket,method,PICP,MPIW,n_cell,n_own,n_init,fell_back,gamma,degenerate
13,True,evening,Mondrian-split-CP,0.9487179487179487,2.8277287157286537,117,141,141,False,0.1,False
13,True,night,ACI,0.8982456140350877,3.4557112052015553,285,177,177,False,0.1,False
13,True,am_rush,ACI,0.8020833333333334,19.651471000305623,192,96,96,False,0.1,False
13,True,midday,ACI,0.812,28.427692162578154,250,202,202,False,0.1,False
13,True,pm_rush,ACI,0.9122807017543859,29.006655785788816,171,144,144,False,0.1,False
13,True,evening,ACI,0.9658119658119658,4.096192579025902,117,141,141,False,0.1,False
13,True,night,ToD-ACI,0.8491228070175438,1.2725578997999947,285,177,177,False,0.1,False
13,True,am_rush,ToD-ACI,0.8697916666666666,25.474619826113308,192,96,96,False,0.1,False
13,True,midday,ToD-ACI,0.864,33.796100148148135,250,202,202,False,0.1,False
13,True,pm_rush,ToD-ACI,0.847953216374269,27.214766760475822,171,144,144,False,0.1,False
13,True,evening,ToD-ACI,0.8803418803418803,2.3215201352145667,117,141,141,False,0.1,False
14,True,night,split-CP,0.9052631578947369,22.41163564213565,285,177,177,False,0.02,False
14,True,am_rush,split-CP,0.9739583333333334,22.41163564213565,192,96,96,False,0.02,False
14,True,midday,split-CP,0.816,22.411635642135654,250,202,202,False,0.02,False
14,True,pm_rush,split-CP,0.8596491228070176,22.411635642135654,171,144,144,False,0.02,False
14,True,evening,split-CP,0.8461538461538461,22.119630089046755,117,141,141,False,0.02,False
14,True,night,Mondrian-split-CP,0.7578947368421053,13.83247835497832,285,177,177,False,0.02,False
14,True,am_rush,Mondrian-split-CP,0.9322916666666666,13.12057936507938,192,96,96,False,0.02,False
14,True,midday,Mondrian-split-CP,0.856,25.836759259259246,250,202,202,False,0.02,False
14,True,pm_rush,Mondrian-split-CP,0.8947368421052632,24.444246031746044,171,144,144,False,0.02,False
14,True,evening,Mondrian-split-CP,0.9316239316239316,28.927658170533164,117,141,141,False,0.02,False
